id,x,y,z,hit,net,bounce,time,shotId
1065297,-5.974,-1.124,0.037,0,0,1,1.561,386000
1065298,-11.590,-1.872,0.962,1,0,0,1.765,386001
1065299,-0.007,-1.930,1.736,0,1,0,2.321,386001
1065300,7.022,-1.903,0.037,0,0,1,2.740,386001
1065301,11.393,-0.982,2.883,1,0,0,0.952,386002
1065302,0.000,2.828,1.198,0,1,0,1.235,386002
1065303,-5.192,4.334,0.037,0,0,1,1.388,386002
1065304,11.380,-1.534,2.726,1,0,0,1.058,386003
1065305,0.006,1.767,1.078,0,1,0,1.327,386003
1065306,-4.726,3.001,0.037,0,0,1,1.459,386003
1065307,-12.063,4.786,1.436,1,0,0,1.779,386004
1065308,-0.003,1.852,1.624,0,1,0,2.393,386004
1065309,8.092,-0.086,0.037,0,0,1,2.936,386004
1065310,11.258,-0.959,0.658,1,0,0,3.321,386005
1065311,11.388,-1.183,2.872,1,0,0,0.907,386006
1065312,0.011,1.694,1.016,0,1,0,1.229,386006
1065313,-3.707,2.406,0.037,0,0,1,1.354,386006
1065314,-16.204,4.929,1.487,1,0,0,2.127,386007
1065315,-0.012,-0.548,1.602,0,1,0,2.691,386007
1065316,6.837,-2.499,0.037,0,0,1,3.003,386007
1065317,11.560,-3.972,1.256,1,0,0,3.377,386008
1065318,0.006,-2.826,1.587,0,1,0,3.757,386008
1065319,-9.540,-2.368,0.037,0,0,1,4.163,386008
1065320,-14.722,-1.951,1.000,1,0,0,4.547,386009
1065321,-0.002,-0.034,1.816,0,1,0,4.996,386009
1065322,11.120,1.434,0.037,0,0,1,5.447,386009
1065323,12.919,1.679,0.603,1,0,0,5.572,386010
1065324,0.005,3.008,1.700,0,1,0,6.136,386010
1065325,-7.416,3.642,0.037,0,0,1,6.553,386010
1065326,-13.683,4.150,1.115,1,0,0,7.192,386011
1065327,-0.010,-1.108,1.966,0,1,0,7.735,386011
1065328,7.795,-3.960,0.037,0,0,1,8.143,386011
1065329,13.240,-5.964,1.404,1,0,0,8.614,386012
1065330,0.003,-1.792,2.185,0,1,0,9.277,386012
1065331,-10.301,2.187,0.037,0,0,1,10.032,386012
1065332,11.394,0.802,2.777,1,0,0,0.816,386013
1065333,0.016,-0.008,1.302,0,1,0,1.069,386013
1065334,-12.643,3.373,0.866,1,0,0,10.423,386014
1065335,-6.610,-0.727,0.037,0,0,1,1.249,386013
1065336,-0.006,3.303,1.616,0,1,0,10.817,386014
1065337,9.568,3.479,0.037,0,0,1,11.208,386014
1065338,16.732,3.508,1.177,1,0,0,11.714,386015
1065339,0.007,2.017,2.952,0,1,0,12.606,386015
1065340,-10.036,0.587,0.037,0,0,1,13.425,386015
1065341,-15.677,0.454,0.707,1,0,0,13.965,386016
1065342,-0.018,-1.766,1.174,0,1,0,14.399,386016
1065343,7.627,-2.933,0.037,0,0,1,14.674,386016
1065344,16.338,-4.230,0.744,1,0,0,15.214,386017
1065345,-4.793,0.929,0.360,1,0,0,16.265,386018
1065346,-0.003,2.573,1.526,0,1,0,17.037,386018
1065347,2.043,3.326,0.037,0,0,1,17.416,386018
1065348,11.388,0.595,2.878,1,0,0,0.560,386019
1065349,0.003,-1.903,1.113,0,1,0,0.857,386019
1065350,-4.445,-3.152,0.037,0,0,1,1.000,386019
1065351,-16.234,-6.933,1.552,1,0,0,1.660,386020
1065352,-0.004,-3.239,1.632,0,1,0,2.240,386020
1065353,7.100,-1.868,0.037,0,0,1,2.574,386020
1065354,12.472,-0.597,1.224,1,0,0,3.032,386021
1065355,0.016,0.337,1.454,0,1,0,3.441,386021
1065356,-7.598,1.079,0.037,0,0,1,3.759,386021
1065357,-15.728,1.579,1.139,1,0,0,4.349,386022
1065358,-0.007,-0.115,2.712,0,1,0,4.866,386022
1065359,13.310,-1.285,0.037,0,0,1,5.489,386022
1065360,11.396,-1.189,2.825,1,0,0,1.109,386023
1065361,0.012,1.818,1.086,0,1,0,1.377,386023
