id,playerName,playerNumber,speed,shotType,spin,spinRpm,pointId,isServe,distance,result
389779,FEDERER,ATPF324,100.67,FOREHAND,BACKSPIN,1491.57,112919,0,NULL,NULL
389780,DJOKOVIC,ATPD643,46.33,BACKHAND,BACKSPIN,1429.78,112920,0,NULL,NULL
389781,DJOKOVIC,ATPD643,115.87,FOREHAND,BACKSPIN,7559.25,112919,0,NULL,NULL
389782,FEDERER,ATPF324,60.93,BACKHAND,TOPSPIN,1877.30,112920,0,NULL,NULL
389783,DJOKOVIC,ATPD643,112.71,NOT LOGGED,NOSPIN,0.00,112922,1,NULL,NULL
389784,DJOKOVIC,ATPD643,76.74,NOT LOGGED,NOSPIN,0.00,112923,1,NULL,NULL
389785,FEDERER,ATPF324,123.14,NOT LOGGED,NOSPIN,0.00,112924,1,NULL,NULL
389786,DJOKOVIC,ATPD643,62.20,BACKHAND,TOPSPIN,1548.13,112924,0,NULL,NULL
389787,FEDERER,ATPF324,118.41,NOT LOGGED,NOSPIN,0.00,112925,1,NULL,NULL
389788,DJOKOVIC,ATPD643,57.87,BACKHAND,TOPSPIN,1171.31,112925,0,NULL,NULL
389789,FEDERER,ATPF324,80.27,FOREHAND,TOPSPIN,3630.00,112925,0,NULL,NULL
389790,DJOKOVIC,ATPD643,119.09,NOT LOGGED,NOSPIN,0.00,112926,1,NULL,NULL
389791,FEDERER,ATPF324,121.52,NOT LOGGED,NOSPIN,0.00,112927,1,NULL,NULL
389792,DJOKOVIC,ATPD643,53.95,BACKHAND,BACKSPIN,1579.11,112927,0,NULL,NULL
389793,DJOKOVIC,ATPD643,106.79,NOT LOGGED,NOSPIN,0.00,112928,1,NULL,NULL
389794,FEDERER,ATPF324,68.57,FOREHAND,TOPSPIN,1797.00,112928,0,NULL,NULL
389795,DJOKOVIC,ATPD643,76.04,FOREHAND,TOPSPIN,2825.37,112928,0,NULL,NULL
389796,FEDERER,ATPF324,70.30,FOREHAND,TOPSPIN,2942.51,112928,0,NULL,NULL
389797,DJOKOVIC,ATPD643,87.52,FOREHAND,TOPSPIN,3107.84,112928,0,NULL,NULL
389798,FEDERER,ATPF324,71.39,FOREHAND,TOPSPIN,2819.30,112928,0,NULL,NULL
389799,DJOKOVIC,ATPD643,83.63,FOREHAND,TOPSPIN,3010.70,112928,0,NULL,NULL
389800,FEDERER,ATPF324,85.89,FOREHAND,TOPSPIN,2965.96,112928,0,NULL,NULL
389801,DJOKOVIC,ATPD643,50.73,FOREHAND,TOPSPIN,2227.36,112928,0,NULL,NULL
389802,FEDERER,ATPF324,110.09,NOT LOGGED,NOSPIN,0.00,112929,1,NULL,NULL
389803,DJOKOVIC,ATPD643,99.80,NOT LOGGED,NOSPIN,0.00,112930,1,NULL,NULL
389804,FEDERER,ATPF324,103.96,NOT LOGGED,NOSPIN,0.00,112931,1,NULL,NULL
389805,DJOKOVIC,ATPD643,114.77,NOT LOGGED,NOSPIN,0.00,112932,1,NULL,NULL
389806,FEDERER,ATPF324,61.83,BACKHAND,TOPSPIN,756.40,112932,0,NULL,NULL
389807,DJOKOVIC,ATPD643,109.05,NOT LOGGED,NOSPIN,0.00,112933,1,NULL,NULL
389808,FEDERER,ATPF324,64.45,FOREHAND,TOPSPIN,1330.55,112933,0,NULL,NULL
389809,DJOKOVIC,ATPD643,59.06,FOREHAND,TOPSPIN,2606.78,112933,0,NULL,NULL
389810,FEDERER,ATPF324,52.22,BACKHAND,BACKSPIN,3431.44,112933,0,NULL,NULL
389811,DJOKOVIC,ATPD643,74.02,FOREHAND,TOPSPIN,3393.80,112933,0,NULL,NULL
389812,DJOKOVIC,ATPD643,116.39,NOT LOGGED,NOSPIN,0.00,112934,1,NULL,NULL
389813,FEDERER,ATPF324,53.13,BACKHAND,BACKSPIN,3091.26,112933,0,NULL,NULL
389814,DJOKOVIC,ATPD643,74.74,BACKHAND,TOPSPIN,2681.11,112933,0,NULL,NULL
389815,FEDERER,ATPF324,69.06,BACKHAND,TOPSPIN,2864.03,112933,0,NULL,NULL
389816,FEDERER,ATPF324,122.81,NOT LOGGED,NOSPIN,0.00,112935,1,NULL,NULL
389817,FEDERER,ATPF324,97.56,NOT LOGGED,NOSPIN,0.00,112936,1,NULL,NULL
389818,DJOKOVIC,ATPD643,61.46,BACKHAND,NOSPIN,0.00,112936,0,NULL,NULL
389819,FEDERER,ATPF324,100.67,BACKHAND,BACKSPIN,1934.33,112936,0,NULL,NULL
389820,DJOKOVIC,ATPD643,100.66,BACKHAND,NOSPIN,0.00,112936,0,NULL,NULL
389821,FEDERER,ATPF324,61.56,NOT LOGGED,NOSPIN,0.00,112936,0,NULL,NULL
389822,DJOKOVIC,ATPD643,48.15,FOREHAND,NOSPIN,0.00,112936,0,NULL,NULL
389823,FEDERER,ATPF324,65.07,BACKHAND,NOSPIN,0.00,112936,0,NULL,NULL
389824,DJOKOVIC,ATPD643,116.21,NOT LOGGED,NOSPIN,0.00,112937,1,NULL,NULL
389825,FEDERER,ATPF324,100.67,BACKHAND,BACKSPIN,1470.64,112937,0,NULL,NULL
389826,DJOKOVIC,ATPD643,117.49,NOT LOGGED,NOSPIN,0.00,112938,1,NULL,NULL
389827,FEDERER,ATPF324,52.55,BACKHAND,BACKSPIN,2664.89,112938,0,NULL,NULL
389828,DJOKOVIC,ATPD643,78.76,FOREHAND,TOPSPIN,3080.26,112938,0,NULL,NULL
389829,FEDERER,ATPF324,71.19,FOREHAND,TOPSPIN,2646.62,112938,0,NULL,NULL
389830,DJOKOVIC,ATPD643,73.94,BACKHAND,TOPSPIN,1663.36,112938,0,NULL,NULL
389831,FEDERER,ATPF324,87.29,NOT LOGGED,NOSPIN,0.00,112939,1,NULL,NULL
389832,FEDERER,ATPF324,48.52,BACKHAND,TOPSPIN,2331.23,112938,0,NULL,NULL
389833,DJOKOVIC,ATPD643,68.50,BACKHAND,TOPSPIN,1322.02,112939,0,NULL,NULL
389834,DJOKOVIC,ATPD643,89.62,FOREHAND,TOPSPIN,2226.57,112938,0,NULL,NULL
389835,FEDERER,ATPF324,88.36,FOREHAND,TOPSPIN,3332.15,112939,0,NULL,NULL
389836,FEDERER,ATPF324,81.26,BACKHAND,TOPSPIN,1570.59,112938,0,NULL,NULL
389837,DJOKOVIC,ATPD643,100.67,FOREHAND,BACKSPIN,1917.35,112939,0,NULL,NULL
389838,DJOKOVIC,ATPD643,55.20,FOREHAND,TOPSPIN,1347.76,112938,0,NULL,NULL
389839,FEDERER,ATPF324,112.16,NOT LOGGED,NOSPIN,0.00,112940,1,NULL,NULL
389840,DJOKOVIC,ATPD643,72.31,FOREHAND,TOPSPIN,1378.13,112940,0,NULL,NULL
389841,FEDERER,ATPF324,52.97,BACKHAND,BACKSPIN,2767.23,112940,0,NULL,NULL
389842,DJOKOVIC,ATPD643,72.84,BACKHAND,TOPSPIN,2366.34,112940,0,NULL,NULL
389843,FEDERER,ATPF324,66.55,BACKHAND,TOPSPIN,2535.06,112940,0,NULL,NULL
389844,DJOKOVIC,ATPD643,83.30,FOREHAND,TOPSPIN,2983.65,112940,0,NULL,NULL
389845,FEDERER,ATPF324,91.18,NOT LOGGED,NOSPIN,0.00,112941,1,NULL,NULL
389846,DJOKOVIC,ATPD643,111.21,NOT LOGGED,NOSPIN,0.00,112942,1,NULL,NULL
389847,DJOKOVIC,ATPD643,81.99,NOT LOGGED,NOSPIN,0.00,112943,1,NULL,NULL
389848,FEDERER,ATPF324,48.93,BACKHAND,BACKSPIN,2908.51,112943,0,NULL,NULL
389849,DJOKOVIC,ATPD643,76.70,BACKHAND,TOPSPIN,2087.13,112943,0,NULL,NULL
389850,FEDERER,ATPF324,62.03,FOREHAND,TOPSPIN,2125.81,112943,0,NULL,NULL
389851,DJOKOVIC,ATPD643,75.35,BACKHAND,TOPSPIN,1852.14,112943,0,NULL,NULL
389852,FEDERER,ATPF324,53.01,BACKHAND,BACKSPIN,2996.21,112943,0,NULL,NULL
389853,DJOKOVIC,ATPD643,80.91,FOREHAND,TOPSPIN,3864.28,112943,0,NULL,NULL
389854,FEDERER,ATPF324,86.84,FOREHAND,TOPSPIN,2767.09,112943,0,NULL,NULL
389855,FEDERER,ATPF324,115.85,NOT LOGGED,NOSPIN,0.00,112944,1,NULL,NULL
389856,DJOKOVIC,ATPD643,87.70,NOT LOGGED,NOSPIN,0.00,112945,1,NULL,NULL
389857,FEDERER,ATPF324,64.26,BACKHAND,TOPSPIN,1463.09,112945,0,NULL,NULL
389858,DJOKOVIC,ATPD643,78.03,BACKHAND,TOPSPIN,1813.49,112945,0,NULL,NULL
389859,FEDERER,ATPF324,100.67,FOREHAND,TOPSPIN,1039.00,112945,0,NULL,NULL
389860,FEDERER,ATPF324,85.03,NOT LOGGED,NOSPIN,0.00,112946,1,NULL,NULL
389861,DJOKOVIC,ATPD643,70.67,BACKHAND,TOPSPIN,873.89,112946,0,NULL,NULL
389862,DJOKOVIC,ATPD643,96.28,NOT LOGGED,NOSPIN,0.00,112947,1,NULL,NULL
389863,FEDERER,ATPF324,66.82,FOREHAND,TOPSPIN,1721.90,112947,0,NULL,NULL
389864,DJOKOVIC,ATPD643,83.65,FOREHAND,TOPSPIN,2433.92,112947,0,NULL,NULL
389865,FEDERER,ATPF324,100.67,BACKHAND,BACKSPIN,1328.46,112947,0,NULL,NULL
389866,DJOKOVIC,ATPD643,113.48,NOT LOGGED,NOSPIN,0.00,112948,1,NULL,NULL
389867,DJOKOVIC,ATPD643,88.96,NOT LOGGED,NOSPIN,0.00,112949,1,NULL,NULL
389868,FEDERER,ATPF324,72.86,BACKHAND,BACKSPIN,1299.33,112949,0,NULL,NULL
389869,DJOKOVIC,ATPD643,140.02,NOT LOGGED,NOSPIN,0.00,112950,1,NULL,NULL
389870,DJOKOVIC,ATPD643,104.45,NOT LOGGED,NOSPIN,0.00,112951,1,NULL,NULL
389871,DJOKOVIC,ATPD643,105.20,NOT LOGGED,NOSPIN,0.00,112952,1,NULL,NULL
389872,FEDERER,ATPF324,68.24,FOREHAND,TOPSPIN,1160.09,112951,0,NULL,NULL
389873,FEDERER,ATPF324,67.65,FOREHAND,TOPSPIN,964.87,112952,0,NULL,NULL
389874,DJOKOVIC,ATPD643,75.11,FOREHAND,TOPSPIN,3316.30,112951,0,NULL,NULL
389875,DJOKOVIC,ATPD643,67.51,BACKHAND,TOPSPIN,1665.52,112952,0,NULL,NULL
389876,DJOKOVIC,ATPD643,92.45,NOT LOGGED,NOSPIN,0.00,112953,1,NULL,NULL
389877,FEDERER,ATPF324,62.48,BACKHAND,TOPSPIN,1544.93,112953,0,NULL,NULL
389878,DJOKOVIC,ATPD643,54.55,BACKHAND,TOPSPIN,1978.94,112953,0,NULL,NULL
389879,DJOKOVIC,ATPD643,104.35,NOT LOGGED,NOSPIN,0.00,112954,1,NULL,NULL
389880,DJOKOVIC,ATPD643,113.20,NOT LOGGED,NOSPIN,0.00,112955,1,NULL,NULL
389881,FEDERER,ATPF324,52.56,FOREHAND,TOPSPIN,1153.81,112955,0,NULL,NULL
389882,DJOKOVIC,ATPD643,71.96,BACKHAND,TOPSPIN,1971.65,112955,0,NULL,NULL
389883,FEDERER,ATPF324,53.46,BACKHAND,BACKSPIN,3129.79,112955,0,NULL,NULL
389884,DJOKOVIC,ATPD643,69.23,BACKHAND,TOPSPIN,2417.56,112955,0,NULL,NULL
